cell_id,Pot_Eolico_kW,Pot_Solar_kW,Year
10,0.0,733.27,2019
46,0.0,257151.44,2019
47,0.0,7802.0,2019
48,61250.0,311.1,2019
49,2016190.0,5446.6,2019
55,0.0,562.0,2019
56,0.0,331638.92,2019
57,131265.0,481387.987,2019
58,682955.0,215855.43,2019
59,727700.0,16849.2,2019
65,0.0,1858.3,2019
66,116000.0,133469.75,2019
67,634010.0,435338.166,2019
68,784645.0,82543.125,2019
69,1661879.4,42887.71,2019
76,818670.0,606574.795,2019
77,2019477.0,284993.435,2019
78,2030660.0,137616.28,2019
79,767618.4,97092.65,2019
86,0.0,5532.485,2019
87,0.0,18628.5,2019
88,1355510.0,165642.38,2019
89,0.0,4696.05,2019
98,0.0,42741.785,2019
99,0.0,6015.3,2019
10,0.0,733.27,2020
46,0.0,307146.44,2020
47,0.0,7802.0,2020
48,61250.0,311.1,2020
49,2266870.0,5446.6,2020
55,0.0,562.0,2020
56,0.0,333671.72000000003,2020
57,131265.0,764812.852,2020
58,988990.0,467041.4,2020
59,727700.0,17848.8,2020
65,0.0,1858.3,2020
66,116000.0,183435.05,2020
67,634010.0,691722.926,2020
68,784645.0,152312.295,2020
69,1757779.4,43048.14,2020
76,818670.0,1563912.69,2020
77,2019477.0,284993.435,2020
78,2893725.0,301131.71,2020
79,945983.4,110583.31,2020
86,0.0,5532.485,2020
87,0.0,18628.5,2020
88,1355510.0,369105.19,2020
89,0.0,4696.05,2020
98,0.0,43335.955,2020
99,0.0,6015.3,2020
10,0.0,733.27,2021
46,0.0,412113.34500000003,2021
47,0.0,7802.0,2021
48,61250.0,311.1,2021
49,2266870.0,5446.6,2021
55,0.0,562.0,2021
56,0.0,833491.72,2021
57,131265.0,1014077.892,2021
58,1096570.0,488788.185,2021
59,790130.0,18052.58,2021
65,0.0,1858.3,2021
66,116000.0,183435.05,2021
67,634010.0,782503.176,2021
68,807745.0,191861.835,2021
69,1757779.4,44966.8,2021
76,818670.0,1676052.83,2021
77,2144267.0,285389.435,2021
78,3476995.0,559591.26,2021
79,1056863.4,113760.79,2021
86,0.0,5532.485,2021
87,0.0,18628.5,2021
88,1355510.0,370605.55,2021
89,0.0,4696.05,2021
98,0.0,44965.775,2021
99,0.0,6317.8,2021
10,0.0,733.27,2022
46,0.0,462025.545,2022
47,0.0,7802.0,2022
48,61250.0,311.1,2022
49,2307065.0,5446.6,2022
55,0.0,562.0,2022
56,0.0,1288886.62,2022
57,131265.0,1355141.052,2022
58,1096570.0,572382.065,2022
59,861005.0,18502.58,2022
65,0.0,1858.3,2022
66,116000.0,261890.05,2022
67,738510.0,1168261.176,2022
68,807745.0,253123.255,2022
69,1807279.4,49694.2,2022
76,818670.0,2053444.18,2022
77,2184167.0,485031.735,2022
78,3697595.0,612151.26,2022
79,1056863.4,117180.79,2022
86,0.0,5632.385,2022
87,0.0,18628.5,2022
88,1355510.0,420734.045,2022
89,0.0,8596.05,2022
98,0.0,46124.475,2022
99,0.0,6319.8,2022
10,0.0,733.27,2023
46,0.0,558795.645,2023
47,0.0,91802.0,2023
48,61250.0,311.1,2023
49,2307065.0,5545.8,2023
55,0.0,562.0,2023
56,0.0,1755776.54,2023
57,131265.0,1885743.252,2023
58,1131770.0,611776.985,2023
59,861005.0,19262.58,2023
65,0.0,1858.3,2023
66,116000.0,351800.05,2023
67,738510.0,1448800.136,2023
68,838795.0,475796.255,2023
69,1807279.4,53887.29,2023
76,877670.0,2166691.73,2023
77,2353167.0,650380.135,2023
78,3889895.0,860547.26,2023
79,1056863.4,119701.49,2023
86,0.0,5708.385,2023
87,0.0,24263.5,2023
88,1355510.0,428343.885,2023
89,0.0,8596.05,2023
98,0.0,50036.875,2023
99,0.0,6385.8,2023
10,0.0,733.27,2024
46,0.0,575565.645,2024
47,0.0,91802.0,2024
48,61250.0,311.1,2024
49,2314265.0,6395.0199999999995,2024
55,0.0,562.0,2024
56,0.0,1827490.0,2024
57,180765.0,2147648.612,2024
58,1235270.0,771636.735,2024
59,861005.0,19424.64,2024
65,0.0,1858.3,2024
66,116000.0,522356.05,2024
67,743010.0,2391211.926,2024
68,838795.0,852828.925,2024
69,1807279.4,62648.29,2024
76,927670.0,2305175.11,2024
77,2353167.0,909454.135,2024
78,4237795.0,1438372.26,2024
79,1113373.5,137442.37,2024
86,0.0,5708.385,2024
87,0.0,44473.5,2024
88,1359210.0,442827.97500000003,2024
89,0.0,8756.05,2024
98,0.0,61169.445,2024
99,0.0,7500.8,2024
10,0.0,733.27,2025
46,0.0,746895.645,2025
47,0.0,91802.0,2025
48,61250.0,311.1,2025
49,2360115.0,6395.0199999999995,2025
55,0.0,5462.0,2025
56,0.0,2004923.0,2025
57,180765.0,2284170.312,2025
58,1285270.0,1039325.005,2025
59,866005.0,22072.64,2025
65,0.0,1958.3,2025
66,116000.0,603718.05,2025
67,743010.0,2650613.551,2025
68,928795.0,1146660.175,2025
69,1911279.4,68019.15,2025
76,979670.0,2528610.11,2025
77,2403167.0,1054410.135,2025
78,4618115.0,1898690.06,2025
79,1181473.5,143755.37,2025
86,0.0,5808.285,2025
87,0.0,51173.5,2025
88,1478400.0,482460.60500000004,2025
89,0.0,10216.05,2025
98,0.0,67666.655,2025
99,0.0,7500.8,2025
